query_index,query,oracle_count,planned_count,delta_sl,is_correct_path,tasks_successful,precision,recall,f1,jaccard,coverage,planning_latency_s,total_latency_s,http_status
1,give me the number of movies directed by Sofia Coppola,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1022.218,1628.341,200
2,Who was the lead actor in the movie The Dark Knight?,2,6,4,False,False,0.0,0.0,0.0,0.0,0.0,822.43,1347.501,200
3,Who directed the top-1 rated movie?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1175.862,2058.028,200
4,give me a image for the collection Star Wars,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,2080.456,3148.361,200
5,What is the logo of the Walt Disney?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,897.056,1409.713,200
6,What dose the lead actor of Titanic look like?,3,5,2,False,False,0.0,0.0,0.0,0.0,0.0,1065.682,1738.912,200
7,give me some reviews of the first movie that is similar to Titanic,3,3,0,True,True,1.0,1.0,1.0,1.0,1.0,1105.974,1834.737,200
8,I just finished watching Titanic and I want some other movie recommendations,2,4,2,False,False,0.0,0.0,0.0,0.0,0.0,903.211,1432.295,200
9,What is the latest movie directed by Christopher Nolan?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1006.718,1644.753,200
10,tell me the highest rated movie directed by Martin Scorsese,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1028.345,1726.24,200
11,Who is the director of Leonardo DiCaprio's latest movie?,3,3,0,True,True,1.0,1.0,1.0,1.0,1.0,990.121,1550.848,200
12,tell me a TV show recently directed by Catherine Hardwicke,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,908.826,1434.406,200
13,Please recommend me some TV shows similar to Breaking Bad,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,994.197,1637.955,200
14,Who is the director of today's most trending movie?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,999.779,1500.441,200
15,"Who is the director of the movie ""Twilight""?",2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,950.841,1477.281,200
16,give me a photo belong to the second episode of the first season of the Witcher,2,2,0,True,False,1.0,1.0,1.0,1.0,1.0,863.832,1393.881,200
17,What is top-1 rated movie?,1,5,4,False,False,0.0,0.0,0.0,0.0,0.0,995.234,1479.835,200
18,"What is the release date of the movie ""The Matrix""?",2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,932.496,1470.361,200
19,Who is the most popular person?,1,1,0,True,True,1.0,1.0,1.0,1.0,1.0,843.38,1380.299,200
20,Give me some cover images of movies directed by Christopher Nolan.,3,3,0,True,True,1.0,1.0,1.0,1.0,1.0,875.327,1443.952,200
21,"What are some common keywords associated with movie ""Titanic""?",2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1011.852,1573.998,200
22,Give me a show that is currently on the air,1,1,0,True,True,1.0,1.0,1.0,1.0,1.0,868.441,1371.114,200
23,When is Clint Eastwood's latest movie scheduled to be released?,3,3,0,True,True,1.0,1.0,1.0,1.0,1.0,1118.001,1903.48,200
24,Give me some movie reviews about The Dark Knight,2,5,3,False,False,0.0,0.0,0.0,0.0,0.0,742.695,1063.329,200
25,What are some movies that are similar to one of the movies directed by Francis Ford Coppola?,3,3,0,True,True,1.0,1.0,1.0,1.0,1.0,1233.793,2158.598,200
26,Who is the lead actor in the latest released movie?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,859.347,1457.297,200
27,give me one image of the movie that is currently showing in theaters,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,932.036,1513.871,200
28,What is the most popular movie right now and what is its keywords?,2,3,1,False,False,0.0,0.0,0.0,0.0,0.0,924.1,1489.528,200
29,What are the keywords of the most popular movie right now,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,983.346,1523.311,200
30,"Who has starred in a movie ""Titanic""",2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1056.956,1817.638,200
31,What do the logo looks like for Paramount Pictures?,2,3,1,False,False,0.0,0.0,0.0,0.0,0.0,719.564,1292.795,200
32,"tell me where the company ""universal pictures"" was founded?",2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1026.509,1651.699,200
33,"When is the movie ""Titanic"" released?",2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,895.322,1415.189,200
