query_index,query,oracle_count,planned_count,delta_sl,is_correct_path,tasks_successful,precision,recall,f1,jaccard,coverage,planning_latency_s,total_latency_s,http_status
1,give me the number of movies directed by Sofia Coppola,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,641.828,815.006,200
2,Who was the lead actor in the movie The Dark Knight?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,482.509,883.926,200
3,Who directed the top-1 rated movie?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,620.941,1156.02,200
4,give me a image for the collection Star Wars,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,667.654,802.163,200
5,What is the logo of the Walt Disney?,2,3,1,False,False,0.0,0.0,0.0,0.0,0.0,476.577,617.878,200
6,What dose the lead actor of Titanic look like?,3,7,4,False,False,0.0,0.0,0.0,0.0,0.0,415.591,903.213,200
7,give me some reviews of the first movie that is similar to Titanic,3,4,1,False,False,0.0,0.0,0.0,0.0,0.0,407.961,869.303,200
8,I just finished watching Titanic and I want some other movie recommendations,2,5,3,False,False,0.0,0.0,0.0,0.0,0.0,594.965,1076.965,200
9,What is the latest movie directed by Christopher Nolan?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,466.132,1103.559,200
10,tell me the highest rated movie directed by Martin Scorsese,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,642.829,753.899,200
11,Who is the director of Leonardo DiCaprio's latest movie?,3,5,2,False,False,0.2,0.3333,0.25,0.1429,0.3333,591.746,1018.884,200
12,tell me a TV show recently directed by Catherine Hardwicke,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,502.075,843.288,200
13,Please recommend me some TV shows similar to Breaking Bad,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,737.164,1001.957,200
14,Who is the director of today's most trending movie?,2,3,1,False,False,0.0,0.0,0.0,0.0,0.0,427.824,808.03,200
15,"Who is the director of the movie ""Twilight""?",2,3,1,False,False,0.0,0.0,0.0,0.0,0.0,670.677,899.274,200
16,give me a photo belong to the second episode of the first season of the Witcher,2,5,3,False,False,0.2,0.5,0.2857,0.1667,0.5,609.607,1752.249,200
17,What is top-1 rated movie?,1,1,0,True,True,1.0,1.0,1.0,1.0,1.0,555.337,1042.795,200
18,"What is the release date of the movie ""The Matrix""?",2,5,3,False,False,0.0,0.0,0.0,0.0,0.0,548.454,834.497,200
19,Who is the most popular person?,1,1,0,True,True,1.0,1.0,1.0,1.0,1.0,558.761,858.229,200
20,Give me some cover images of movies directed by Christopher Nolan.,3,6,3,False,False,0.1667,0.3333,0.2222,0.125,0.3333,550.788,906.007,200
21,"What are some common keywords associated with movie ""Titanic""?",2,3,1,False,False,0.0,0.0,0.0,0.0,0.0,679.898,1110.404,200
22,Give me a show that is currently on the air,1,1,0,True,False,1.0,1.0,1.0,1.0,1.0,630.178,1018.322,200
23,When is Clint Eastwood's latest movie scheduled to be released?,3,5,2,False,False,0.2,0.3333,0.25,0.1429,0.3333,677.788,956.13,200
24,Give me some movie reviews about The Dark Knight,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,624.061,1196.743,200
25,What are some movies that are similar to one of the movies directed by Francis Ford Coppola?,3,5,2,False,False,0.2,0.3333,0.25,0.1429,0.3333,646.034,1439.644,200
26,Who is the lead actor in the latest released movie?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,688.036,1680.591,200
27,give me one image of the movie that is currently showing in theaters,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,593.811,1340.515,200
28,What is the most popular movie right now and what is its keywords?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,561.08,983.713,200
29,What are the keywords of the most popular movie right now,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,514.222,868.378,200
30,"Who has starred in a movie ""Titanic""",2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,567.471,956.839,200
31,What do the logo looks like for Paramount Pictures?,2,5,3,False,False,0.0,0.0,0.0,0.0,0.0,599.875,1195.274,200
32,"tell me where the company ""universal pictures"" was founded?",2,3,1,False,False,0.0,0.0,0.0,0.0,0.0,579.677,804.32,200
33,"When is the movie ""Titanic"" released?",2,3,1,False,False,0.0,0.0,0.0,0.0,0.0,1466.786,1755.754,200
34,Who has starred in the first movie of Star Wars collection?,3,5,2,False,False,0.0,0.0,0.0,0.0,0.0,646.45,1511.761,200
35,give me a movie cover of a movie from the collection Harry Potter,3,4,1,False,False,0.0,0.0,0.0,0.0,0.0,571.539,788.729,200
36,What are some keywords for a movie of the collection The Hunger Games?,3,7,4,False,False,0.0,0.0,0.0,0.0,0.0,646.333,922.476,200
37,When are the release dates for the movies of the collection The Hobbit?,2,5,3,False,False,0.0,0.0,0.0,0.0,0.0,655.967,1135.664,200
38,List movies from The Fast and the Furious collection,2,6,4,False,False,0.0,0.0,0.0,0.0,0.0,613.657,1151.667,200
39,Give me a review of a movie from the collection The Fast and the Furious.,3,7,4,False,False,0.0,0.0,0.0,0.0,0.0,600.708,921.081,200
40,When was the first movie of the collection Lord of the Rings released?,2,4,2,False,False,0.0,0.0,0.0,0.0,0.0,551.16,830.481,200
41,tell me the directors of the first season of House of Cards,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,619.312,1013.238,200
